# Accelerometer Data File
# Started @Fri Mar 02 22:02:25 GMT+08:00 2018
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 39.22661; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the ","
# X,Y,Z,time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
1.058,2.241,10.107,0
1.017,2.216,10.177,4
0.959,2.174,10.232,5
0.917,2.148,10.313,5
0.857,2.125,10.362,5
0.81,2.11,10.408,5
0.784,2.068,10.396,5
0.753,2.052,10.401,5
0.734,2.043,10.437,5
0.725,2.046,10.475,5
0.721,2.037,10.493,5
0.741,2.026,10.497,4
0.762,2.011,10.496,5
0.816,2.005,10.479,5
0.855,2.007,10.445,5
0.868,2.013,10.413,5
0.848,2.009,10.391,5
0.855,1.992,10.353,5
0.847,1.97,10.336,5
0.807,1.962,10.328,5
0.789,1.94,10.304,5
0.787,1.931,10.253,5
0.784,1.91,10.152,4
0.833,1.916,10.05,5
0.831,1.94,9.983,5
0.838,1.946,9.934,5
0.828,1.982,9.897,5
0.812,1.972,9.903,5
0.802,1.998,9.937,5
0.794,2.019,9.985,5
0.769,2.019,10.047,5
0.759,2.029,10.131,5
0.735,2.014,10.211,4
0.726,1.968,10.259,5
0.723,1.932,10.287,5
0.713,1.87,10.303,5
0.679,1.842,10.292,5
0.676,1.796,10.279,5
0.658,1.747,10.274,5
0.635,1.727,10.246,5
0.623,1.7,10.186,5
0.599,1.685,10.144,5
0.621,1.66,10.122,5
0.643,1.669,10.114,4
0.661,1.674,10.089,5
0.676,1.687,10.08,5
0.648,1.688,10.092,5
0.613,1.692,10.113,5
0.635,1.696,10.144,5
0.641,1.7,10.207,5
0.661,1.709,10.265,5
0.698,1.678,10.381,5
0.679,1.673,10.461,5
0.617,1.661,10.514,5
0.545,1.668,10.558,4
0.495,1.661,10.584,5
0.495,1.645,10.585,5
0.533,1.62,10.557,5
