0.688,-2.861,7.222
0.716,-2.582,6.759
0.798,-2.242,6.387
0.942,-1.877,5.97
1.044,-1.476,5.6
1.167,-1.008,5.303
1.33,-0.511,5.09
1.553,-0.133,4.808
1.694,0.113,4.46
1.776,0.377,4.168
1.835,0.633,3.966
1.859,0.721,3.714
1.842,0.665,3.438
1.693,0.585,3.297
1.436,0.553,3.372
1.116,0.487,3.525
0.833,0.277,3.742
0.616,0.001,3.964
0.552,-0.342,4.226
0.611,-0.699,4.432
0.829,-1.081,4.554
1.215,-1.493,4.584
1.493,-1.842,4.675
1.649,-2.085,4.875
1.998,-2.353,4.954
2.316,-2.783,5
2.823,-3.241,5.365
3.284,-3.715,6.086
3.98,-4.47,6.847
5.045,-5.429,7.28
5.906,-6.361,7.524
6.469,-6.945,7.964
6.887,-7.061,8.91
7.099,-6.709,10.455
7.316,-6.123,12.346
7.791,-5.788,13.872
7.831,-5.611,15.053
7.493,-5.03,16.274
7.155,-4.43,17.067
6.796,-4.088,17.064
6.443,-3.877,16.441
6.274,-3.72,15.395
6.387,-3.676,13.954
6.697,-3.752,12.472
7.058,-3.83,11.34
7.402,-3.88,10.774
7.803,-3.91,10.719
8.275,-3.873,10.98
8.705,-3.746,11.347
9.005,-3.647,11.614
9.216,-3.548,11.73
9.298,-3.481,11.633
9.044,-3.467,11.4
8.319,-3.413,10.884
7.301,-3.269,10.21
6.284,-3.124,9.68
5.425,-3.069,9.187
4.585,-3.016,8.737
3.801,-2.87,8.443
3.135,-2.676,8.25
2.572,-2.553,8.165
2.098,-2.5,8.16
1.72,-2.478,8.297
1.488,-2.505,8.32
1.409,-2.587,8.159
1.36,-2.68,7.849
1.313,-2.71,7.623
1.259,-2.667,7.706
1.33,-2.608,8.328
1.526,-2.6,9.226
1.728,-2.734,9.962
1.776,-2.924,10.578
1.823,-3.058,11.192
1.801,-3.282,11.859
1.791,-3.501,12.495
1.865,-3.673,12.989
1.854,-3.795,13.211
1.722,-3.81,13.198
1.529,-3.84,12.992
1.317,-3.942,12.57
1.063,-4.099,12.098
