Starting Contiki-3.x-3341-g80dbe5c
With DriverLib v0.47020
TI CC-0.88 G, 0.17 G, -0.10 G
1,-88,17,-10 
-0.87 G, 0.18 G, -0.08 G
1,-87,18,-8 
-0.81 G, 0.18 G, -0.08 G
1,-81,18,-8 
-0.83 G, 0.20 G, -0.06 G
1,-83,20,-6 
-0.77 G, 0.20 G, -0.06 G
1,-77,20,-6 
-0.77 G, 0.21 G, -0.05 G
1,-77,21,-5 
-0.71 G, 0.18 G, -0.07 G
1,-71,18,-7 
-0.59 G, 0.14 G, -0.10 G
1,-59,14,-10 
-0.57 G, 0.15 G, -0.13 G
1,-57,15,-13 
-0.54 G, 0.15 G, -0.14 G
1,-54,15,-14 
-0.51 G, 0.16 G, -0.13 G
1,-51,16,-13 
-0.42 G, 0.16 G, -0.16 G
1,-42,16,-16 
-0.36 G, 0.15 G, -0.20 G
1,-36,15,-20 
-0.31 G, 0.16 G, -0.22 G
1,-31,16,-22 
-0.29 G, 0.19 G, -0.22 G
1,-29,19,-22 
-0.33 G, 0.23 G, -0.19 G
1,-33,23,-19 
-0.45 G, 0.29 G, -0.15 G
1,-45,29,-15 
-0.48 G, 0.30 G, -0.12 G
1,-48,30,-12 
-0.54 G, 0.31 G, -0.12 G
1,-54,31,-12 
-0.52 G, 0.29 G, -0.13 G
1,-52,29,-13 
-0.63 G, 0.31 G, -0.10 G
1,-63,31,-10 
-0.66 G, 0.32 G, -0.07 G
1,-66,32,-7 
-0.71 G, 0.33 G, -0.04 G
1,-71,33,-4 
-0.73 G, 0.31 G, -0.02 G
1,-73,31,-2 
-0.79 G, 0.30 G, -0.02 G
1,-79,30,-2 
-0.82 G,--15 128 :-1.00 G, 0.32 G, 0.05 G
7,-100,32,5 
-0.99 G, 0.32 G, 0.05 G
7,-99,32,5 
-0.97 G, 0.31 G, 0.05 G
7,-97,31,5 
-0.94 G, 0.32 G, 0.05 G
7,-94,32,5 
-0.90 G, 0.31 G, 0.03 G
7,-90,31,3 
-0.87 G, 0.31 G, 0.00 G
7,-87,31,0 
-0.83 G, 0.31 G, -0.02 G
7,-83,31,-2 
-0.78 G, 0.31 G, -0.06 G
7,-78,31,-6 
-0.74 G, 0.31 G, -0.08 G
7,-74,31,-8 
-0.70 G, 0.30 G, -0.10 G
7,-70,30,-10 
-0.66 G, 0.30 G, -0.12 G
7,-66,30,-12 
-0.64 G, 0.30 G, -0.14 G
7,-64,30,-14 
-0.61 G, 0.30 G, -0.15 G
7,-61,30,-15 
-0.59 G, 0.30 G, -0.15 G
7,-59,30,-15 
-0.56 G, 0.31 G, -0.15 G
7,-56,31,-15 
-0.56 G, 0.30 G, -0.16 G
7,-56,30,-16 
-0.56 G, 0.30 G, -0.16 G
7,-56,30,-16 
-0.54 G, 0.29 G, -0.17 G
7,-54,29,-17 
-0.53 G, 0.28 G, -0.18 G
7,-53,28,-18 
-0.53 G, 0.26 G, -0.18 G
7,-53,26,-18 
-0.51 G, 0.24 G, -0.18 G
7,-51,24,-18 
-0.51 G, 0.23 G, -0.19 G
7,-51,23,-19 
-0.50 G, 0.20 G, -0.19 G
7,-50,20,-19 
-0.49 G, 0.18 G, -0.19 G
7,-49,18,-19 
-0.48 G, 0.17 G, -0.19 G
7,-48,17,-19 
-0.49 G, 0.16 G, -0.19 G
7,-49,16,-19 
-0.50 G, 0.17 G, -0.17 G
7,-50,17,-17 
-0.53 G, 0.17 G, -0.16 G
7,-53,17,-16 
-0.57 G, 0.17 G, -0.15 G
7,-57,17,-15 
-0.60 G, 0.18 G, -0.13 G
7,-60,18,-13 
-0.68 G,-0.88 G, 0.37 G, -0.15 G
25,-88,37,-15 
-0.88 G, 0.34 G, -0.09 G
25,-88,34,-9 
-0.88 G, 0.30 G, -0.03 G
25,-88,30,-3 
-0.88 G, 0.26 G, -0.03 G
25,-88,26,-3 
-0.84 G, 0.19 G, -0.04 G
25,-84,19,-4 
-0.83 G, 0.16 G, -0.04 G
25,-83,16,-4 
-0.81 G, 0.14 G, -0.03 G
25,-81,14,-3 
-0.78 G, 0.13 G, -0.02 G
25,-78,13,-2 
-0.73 G, 0.13 G, -0.02 G
25,-73,13,-2 
-0.68 G, 0.12 G, -0.02 G
25,-68,12,-2 
-0.65 G, 0.13 G, -0.03 G
25,-65,13,-3 
-0.64 G, 0.15 G, -0.01 G
25,-64,15,-1 
