Starting Contiki-3.x-3341-g80dbe5c
With DriverLib v0.47020
TI CC2650 SensorTag
IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes
 Net: Rime
 MAC: CSMA
 RDC: ContikiMAC, Channel Check Interval: 16 ticks
 RF: Channel 25
 Node ID: 22791
Starting Contiki-3.x-3341-g80dbe5c
With DriverLib v0.47020
TI CC2650 SensorTag
IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes
 Net: Rime
 MAC: CSMA
 RDC: ContikiMAC, Channel Check Interval: 16 ticks
 RF: Channel 25
 Node ID: 22791
CS4222 DEMO for collecting accelerometer data (version 3.0.0)
Long press the left pin to start the collection process (green led goes ON)
Long press the right pin to stop the collection process (green led goes OFF)
All accelerometer data are saved in the external flash
During the collection process, the accelerometer data is displayed. Two lines are associated with each sample:
    Line one shows the raw values of the collected data
    Line two shows the respective values as written to the flash
          Note that the first value is the timeLeft: Pin 0, press duration 416 clock ticks
Long button press!
WILL NOW WRITE TO FLASH!
------------------------------------------0 0 :-0.76 G, 0.55 G, -0.04 G
1,-76,55,-4 
-1.17 G, 0.24 G, -0.20 G
3,-117,24,-20 
-1.20 G, 0.24 G, -0.21 G
3,-120,24,-21 
-1.23 G, 0.24 G, -0.21 G
3,-123,24,-21 
-1.25 G, 0.24 G, -0.22 G
3,-125,24,-22 
-1.28 G, 0.24 G, -0.22 G
3,-128,24,-22 
-1.32 G, 0.24 G, -0.23 G
3,-132,24,-23 
-1.31 G, 0.24 G, -0.24 G
3,-131,24,-24 
-1.31 G, 0.23 G, -0.24 G
3,-131,23,-24 
-1.31 G, 0.23 G, -0.26 G
3,-131,23,-26 
-1.29 G, 0.23 G, -0.26 G
3,-129,23,-26 
-1.27 G, 0.24 G, -0.27 G
3,-127,24,-27 
-1.24 G, 0.24 G, -0.28 G
3,-124,24,-28 
-1.20 G, 0.24 G, -0.28 G
3,-120,24,-28 
-1.15 G, 0.24 G, -0.28 G
3,-115,24,-28 
-1.10 G, 0.25 G, -0.29 G
3,-110,25,-29 
-1.04 G, 0.24 G, -0.30 G
3,-104,24,-30 
-0.98 G, 0.24 G, -0.33 G
3,-98,24,-33 
-0.94 G, 0.24 G, -0.33 G
3,-94,24,-33 
-0.91 G, 0.24 G, -0.34 G
3,-91,24,-34 
-0.90 G, 0.26 G, -0.35 G
3,-90,26,-35 
-0.90 G, 0.27 G, -0.34 G
3,-90,27,-34 
-0.92 G, 0.30 G, -0.32 G
3,-92,30,-32 
-0.93 G, 0.30 G, -0.30 G
3,-93,30,-30 
-0.95 G, 0.31 G, -0.29 G
3,-95,31,-29 
-0.18 G
8,-84,10,-18 
0.10 G, -0.17 G
8,-84,10,-17 
-0.82 G, 0.11 G, -0.18 G
8,-82,11,-18 
-0.80 G, 0.11 G, -0.18 G
0.03 G, -0.02 G
17,-105,3,-2 
-1.06 G, 0.08 G, 0.00 G
17,-106,8,0 
-1.07 G, 0.13 G, 0.02 G
17,-107,13,2 
-1.07 G, 0.16 G, 0.02 G
17,-107,16,2 
-1.06 G, 0.17 G, 0.00 G
17,-106,17,0 
-1.06 G, 0.18 G, -0.01 G
17,-106,18,-1 
-1.06 G, 0.18 G, -0.01 G
17,-106,18,-1 
-1.06 G, 0.18 G, 0.00 G
17,-106,18,0 
-1.06 G, 0.17 G, -0.01 G
17,-106,17,-1 
-1.06 G, 0.14 G, -0.03 G
17,-106,14,-3 
-1.05 G, 0.11 G, -0.06 G
17,-105,11,-6 
-1.02 G, 0.09 G, -0.07 G
17,-102,9,-7 
-0.98 G, 0.10 G, -0.08 G
17,-98,10,-8 
-0.93 G, 0.12 G, -0.10 G
17,-93,12,-10 
-0.86 G, 0.12 G, -0.13 G
17,-86,12,-13 
-0.79 G, 0.13 G, -0.17 G
17,-79,13,-17 
-0.74 G, 0.14 G, -0.21 G
17,-74,14,-21 
-0.70 G, 0.17 G, -0.23 G
17,-70,17,-23 
-0.69 G, 0.21 G, -0.25 G
17,-69,21,-25 
-0.70 G, 0.24 G, -0.24 G
17,-70,24,-24 
-0.74 G, 0.26 G, -0.25 G
17,-74,26,-25 
-0.80 G, 0.28 G, -0.25 G
17,-80,28,-25 
-0.86 G, 0.30 G, -0.24 G
17,-86,30,-24 
-0.92 G, 0.30 G, -0.21 G
17,-92,30,-21 
-0.97 G, 0.28 G, -0.20 G
17,-97,28,-20 
-1.01 G, 0.24 G, -0.21 G
17,-101,24,-21 
0.07 G
24,-108,4,7 
-1.13 G, 0.07 G, 0.04 G
24,-113,7,4 
-1.15 G, 0.07 G, 0.01 G
24,-115,7,1 
-1.16 G, 0.09 G, 0.00 G
24,-116,9,0 
-1.19 G, 0.11 G, 0.00 G
24,-119,11,0 
-1.18 G, 0.14 G, 0.00 G
24,-118,14,0 
-1.17 G, 0.16 G, -0.02 G
24,-117,16,-2 
-1.16 G, 0.16 G, -0.04 G
24,-116,16,-4 
-1.14 G, 0.15 G, -0.06 G
24,-114,15,-6 
-1.14 G, 0.14 G, -0.08 G
24,-114,14,-8 
-1.13 G, 0.12 G, -0.11 G
24,-113,12,-11 
-1.11 G, 0.12 G, -0.13 G
24,-111,12,-13 
-1.10 G, 0.12 G, -0.14 G
24,-110,12,-14 
-1.07 G, 0.12 G, -0.16 G
24,-107,12,-16 
-1.04 G, 0.11 G, -0.19 G
24,-104,11,-19 
-0.99 G, 0.12 G, -0.23 G
24,-99,12,-23 
-0.95 G, 0.13 G, -0.26 G
24,-95,13,-26 
-0.92 G, 0.15 G, -0.28 G
24,-92,15,-28 
-0.92 G, 0.17 G, -0.30 G
24,-92,17,-30 
-0.92 G, 0.20 G, -0.31 G
24,-92,20,-31 
-0.95 G, 0.22 G, -0.31 G
24,-95,22,-31 
-0.98 G, 0.24 G, -0.32 G
24,-98,24,-32 
-1.03 G, 0.27 G, -0.32 G
24,-103,27,-32 
-1.06 G, 0.28 G, -0.32 G
24,-106,28,-32 
-1.09 G, 0.29 G, -0.31 G
24,-109,29,-31 
-1.10 G, 0.27 G, -0.30 G
24,-110,27,-30 
-1.09 G, 0.24 G, -0.30 G
24,-109,24,-30 
-1.06 G, 0.21 G, -0.31 G
24,-106,21,-31 
-1.05 G, 0.19 G, -0.31 G
24,-105,19,-31 
-0.92 G, 0.23 G, -0.16 G
30,-92,23,-16 
-0.90 G, 0.24 G, -0.16 G
30,-90,24,-16 
-0.86 G, 0.24 G, -0.17 G
30,-86,24,-17 
-0.83 G, 0.25 G, -0.18 G
30,-83,25,-18 
-0.81 G, 0.25 G, -0.19 G
30,-81,25,-19 
-0.77 G, 0.25 G, -0.22 G
30,-77,25,-22 
-0.76 G, 0.27 G, -0.18 G
30,-76,27,-18 
-0.70 G, 0.26 G, -0.21 G
30,-70,26,-21 
------------------------------------------158 128 :-1.22 G, 0.22 G, 0.84 G
31,-122,22,84 
-0.64 G, 0.03 G, 0.14 G
31,-64,3,14 
-0.80 G, -0.29 G, 0.40 G
31,-80,-29,40 
-0.95 G, -0.21 G, -0.06 G
31,-95,-21,-6 
-0.85 G, 0.11 G, 0.02 G
31,-85,11,2 
-0.88 G, 0.22 G, -0.12 G
31,-88,22,-12 
-1.00 G, 0.21 G, -0.38 G
31,-100,21,-38 
-1.61 G, -0.11 G, -0.35 G
31,-161,-11,-35 
-0.94 G, -0.19 G, -0.07 G
31,-94,-19,-7 
-1.21 G, -0.23 G, -0.52 G
31,-121,-23,-52 
-1.17 G, -0.17 G, -0.30 G
31,-117,-17,-30 
-1.02 G, -0.08 G, -0.25 G
31,-102,-8,-25 
-0.92 G, 0.03 G, -0.08 G
31,-92,3,-8 
-0.73 G, 0.17 G, -0.10 G
31,-73,17,-10 
-0.52 G, 0.01 G, 0.18 G
31,-52,1,18 
-0.77 G, 0.13 G, 0.18 G
31,-77,13,18 
-0.76 G, 0.36 G, 0.02 G
31,-76,36,2 
-0.75 G, 0.29 G, 0.16 G
31,-75,29,16 
-0.75 G, 0.19 G, 0.15 G
31,-75,19,15 
-0.80 G, 0.18 G, -0.02 G
31,-80,18,-2 
-0.59 G, 0.31 G, 0.12 G
31,-59,31,12 
-0.76 G, 0.07 G, -0.11 G
31,-76,7,-11 
-0.94 G, -0.11 G, -0.16 G
31,-94,-11,-16 
-0.94 G, -0.11 G, -0.15 G
31,-94,-11,-15 
-0.87 G, -0.08 G, -0.15 G
31,-87,-8,-15 
-1.01 G, -0.23 G, -0.11 G
31,-101,-0.86 G, 0.16 G, -0.05 G
31,-86,16,-5 
-0.87 G, 0.19 G, -0.07 G
31,-87,19,-7 
-0.90 G, 0.23 G, -0.11 G
31,-90,23,-11 
-0.87 G, 0.17 G, -0.14 G
31,-87,17,-14 
-0.92 G, 0.12 G, -0.07 G
31,-92,12,-7 
-0.97 G, 0.04 G, -0.05 G
31,-97,4,-5 
