0.716,2.451,12.082
0.91,2.495,12.254
1.08,2.51,12.332
1.227,2.501,12.338
1.307,2.474,12.344
1.306,2.468,12.324
1.238,2.468,12.289
1.166,2.445,12.203
1.082,2.459,12.148
0.99,2.449,12.07
0.835,2.407,11.965
0.678,2.357,11.888
0.463,2.302,11.8
0.264,2.218,11.723
0.037,2.108,11.618
-0.2,1.991,11.49
-0.398,1.877,11.387
-0.577,1.779,11.268
-0.736,1.703,11.156
-0.861,1.673,11.023
-0.921,1.694,10.865
-0.965,1.743,10.694
-0.982,1.832,10.519
-0.964,1.95,10.324
-0.861,2.093,10.119
-0.702,2.352,9.9
-0.529,2.674,9.696
-0.367,3.045,9.383
-0.26,3.4,9.019
-0.227,3.703,8.646
-0.202,3.904,8.305
-0.144,3.908,8.069
-0.107,3.775,8.031
-0.09,3.564,8.22
-0.101,3.286,8.635
-0.053,2.934,9.233
-0.015,2.468,9.994
0.037,1.921,10.993
-0.01,1.367,12.167
-0.176,0.761,13.545
-0.429,0.182,15.118
-0.721,-0.361,16.755
-0.955,-0.91,18.069
-1.059,-1.383,19.132
-1.234,-1.731,19.901
-1.345,-2.003,20.323
-1.283,-2.214,20.23
-1.137,-2.421,19.69
-0.983,-2.551,18.803
-0.843,-2.591,17.653
-0.783,-2.468,16.352
-0.742,-2.244,14.995
-0.607,-1.924,13.706
-0.398,-1.553,12.474
-0.107,-1.131,11.24
0.178,-0.663,10.009
0.396,-0.172,8.879
0.677,0.278,7.822
1.011,0.693,6.896
1.317,1.107,6.071
1.563,1.471,5.319
1.695,1.766,4.737
1.754,1.972,4.167
1.765,2.074,3.724
1.739,2.035,3.379
1.679,1.885,3.136
1.317,1.797,3.046
0.746,1.764,2.992
0.119,1.742,3.08
-0.54,1.746,3.235
-1.195,1.764,3.424
-1.782,1.766,3.687
-2.324,1.765,4.011
-2.766,1.746,4.383
-3.036,1.678,4.799
-2.964,1.492,5.185
-2.525,1.126,5.597
-1.912,0.662,6.04
-1.363,0.248,6.535
-1.062,-0.015,7.119
-0.976,-0.114,7.823
-1.037,-0.123,8.592
-1.169,-0.082,9.339
-1.232,-0.048,10.055
-1.256,0.001,10.746
-1.111,0.025,11.437
-0.887,0.112,12.059
-0.567,0.293,12.586
-0.205,0.548,13.059
0.252,0.904,13.484
0.872,1.362,13.889
1.671,1.783,14.147
2.511,2.147,14.338
3.293,2.423,14.486
3.975,2.625,14.524
4.457,2.768,14.492
4.76,2.835,14.374
4.828,2.857,14.204
4.643,2.856,13.907
4.161,2.806,13.481
3.438,2.729,13.065
2.64,2.602,12.599
1.999,2.384,12.172
1.404,2.108,11.735
0.849,1.828,11.306
0.324,1.552,10.905
-0.199,1.321,10.496
-0.73,1.1,10.143
-1.22,0.888,9.884
-1.629,0.71,9.614
-2.006,0.553,9.382
-2.274,0.417,9.162
-2.488,0.325,8.98
-2.694,0.223,8.843
-2.812,0.174,8.69
-2.885,0.152,8.544
-2.861,0.127,8.377
-2.756,0.128,8.167
-2.605,0.175,7.994
-2.414,0.292,7.843
-2.273,0.439,7.738
-2.207,0.566,7.733
-2.145,0.709,7.88
-1.982,0.804,8.098
-1.716,0.869,8.426
-1.386,0.908,8.786
-1.03,0.991,9.16
-0.717,1.085,9.554
-0.423,1.228,9.888
-0.074,1.388,10.216
0.245,1.51,10.539
0.54,1.679,10.895
0.908,1.813,11.231
1.349,1.938,11.601
1.768,2.071,11.964
2.19,2.216,12.354
2.558,2.349,12.674
2.895,2.441,12.96
3.178,2.458,13.22
3.442,2.41,13.368
3.606,2.314,13.493
3.659,2.196,13.56
3.519,2.052,13.579
3.196,1.904,13.536
2.732,1.747,13.47
2.154,1.601,13.337
1.512,1.49,13.154
0.837,1.442,12.87
0.235,1.501,12.464
-0.299,1.705,11.873
-0.712,1.956,11.032
-1.063,2.087,10.035
-1.432,1.916,9.026
-1.902,1.303,8.167
-2.578,0.338,7.563
-3.422,-0.662,7.421
-4.236,-1.451,7.842
-4.72,-1.997,8.382
-4.73,-2.445,8.98
-4.43,-2.901,9.786
-3.767,-3.167,10.779
-2.968,-3.373,12.054
-2.414,-3.742,13.887
-1.906,-3.722,15.809
-1.308,-3.618,17.303
-0.698,-3.587,18.318
-0.264,-3.571,19.074
-0.011,-3.446,19.499
0.195,-3.155,19.421
0.604,-2.844,18.966
1.202,-2.404,18.032
1.539,-1.792,16.692
1.964,-1.181,15.281
2.855,-0.895,13.758
3.397,-0.248,12.08
4.075,0.348,10.597
4.516,0.926,9.385
4.425,1.132,7.834
4.01,0.979,6.21
3.361,0.716,4.898
2.703,0.502,3.918
2.013,0.279,3.05
1.322,0.112,2.367
0.668,0.049,1.824
0.154,0.082,1.451
-0.246,0.22,1.207
-0.588,0.455,1.266
-0.84,0.703,1.514
-1.012,0.929,1.982
-1.116,1.185,2.665
-1.122,1.381,3.675
-1.102,1.498,4.473
-1.232,1.458,4.559
-1.79,1.368,4.559
-2.401,1.155,5.126
-2.518,0.577,6.27
-1.938,-0.103,7.609
-1.129,-0.762,8.877
-0.613,-1.391,9.987
-0.374,-1.943,10.979
-0.422,-2.285,11.868
-0.711,-2.362,12.736
-1.136,-2.199,13.566
-1.554,-1.893,14.326
-1.862,-1.535,14.945
-1.985,-1.153,15.475
-1.851,-0.802,15.809
-1.499,-0.49,15.921
-0.967,-0.243,15.869
-0.33,0.021,15.676
0.313,0.273,15.375
0.942,0.551,15.043
1.623,0.839,14.706
2.254,1.097,14.297
2.743,1.322,13.886
3.079,1.46,13.499
3.236,1.52,13.168
3.172,1.562,12.872
2.939,1.569,12.601
2.566,1.544,12.348
2.091,1.467,12.12
1.653,1.333,11.919
1.237,1.128,11.719
0.914,0.899,11.504
