14,70,141
16,70,141
18,72,139
21,72,139
25,73,139
26,73,137
31,69,136
35,68,131
40,71,127
41,72,128
46,75,128
50,76,124
49,84,125
51,82,125
52,78,117
51,76,108
48,75,101
44,74,92
36,79,82
28,84,81
26,86,82
32,84,82
34,75,80
40,84,82
48,83,85
52,83,84
56,81,85
62,79,88
60,69,90
53,58,87
48,47,82
47,38,72
42,28,68
42,18,57
44,13,46
48,7,39
58,7,37
65,7,35
72,6,34
76,5,33
77,5,33
79,4,32
81,4,32
81,4,33
78,7,36
72,10,38
65,12,42
55,15,45
50,17,48
41,21,49
31,24,50
27,25,50
27,26,52
27,25,57
27,23,62
32,25,65
40,27,66
45,31,69
46,39,78
44,44,83
41,47,87
35,52,92
26,59,97
6,72,107
-11,76,111
-14,79,116
-17,87,127
-13,95,129
-12,106,137
-14,110,150
-27,112,160
-31,113,167
-46,115,174
-51,115,179
-54,114,183
-66,108,186
-70,105,190
-76,104,191
-78,104,193
-81,105,194
-80,105,197
-80,104,189
-79,105,178
-72,107,174
-71,107,162
-72,108,159
-74,109,149
-81,108,141
-88,105,129
-91,104,121
-97,97,115
-100,94,110
-96,87,107
-80,84,99
-65,83,99
-59,83,96
-37,83,95
-34,83,92
-30,84,91
-22,84,84
-7,86,81
3,85,80
12,83,79
22,80,78
32,77,77
39,72,75
45,64,70
46,56,65
48,47,58
54,39,53
56,33,48
57,29,43
58,24,33
57,25,27
49,31,24
36,43,26
25,38,27
19,41,29
13,43,33
4,47,36
2,49,39
-3,50,44
-6,48,53
-9,48,59
-8,44,67
-9,52,73
-17,63,71
-8,66,70
-6,70,67
-1,75,66
2,76,64
7,76,64
10,75,64
13,73,66
8,76,71
2,79,74
-6,88,78
-14,92,80
-23,98,82
-30,101,84
-34,101,86
-37,97,95
-38,95,106
-37,90,113
-37,87,117
-37,85,120
-35,85,122
-31,87,125
-22,88,128
-6,84,131
-3,83,129
4,80,128
10,79,128
12,76,127
9,74,125
4,71,118
-1,70,112
-5,71,106
-13,78,102
-31,87,101
-39,93,101
-43,99,100
-44,102,98
-45,107,96
-42,107,95
-37,106,95
-30,102,94
-23,96,95
-16,91,94
-9,84,94
-6,78,94
-5,75,92
-8,68,86
-12,62,83
-14,58,81
-14,53,74
-13,52,72
-10,51,70
-9,50,66
-1,49,62
4,49,60
6,48,60
10,47,59
14,45,57
17,44,54
18,43,53
20,42,53
21,41,54
23,38,54
26,37,52
27,37,51
27,35,49
28,34,47
28,33,43
31,33,40
33,34,38
33,35,36
34,36,36
33,36,36
29,36,36
28,36,35
27,37,35
25,39,37
23,44,43
27,46,47
32,51,54
38,54,62
40,60,71
41,64,78
38,58,80
37,60,75
36,58,76
36,60,85
47,65,96
58,69,104
62,72,112
65,72,118
64,71,121
59,67,121
58,66,119
50,67,118
44,67,117
33,68,116
25,73,118
17,79,121
6,84,124
2,93,128
-7,92,120
-6,104,133
-11,107,132
-10,109,134
-11,109,127
-12,109,121
-13,108,118
-15,105,109
-23,102,103
-26,100,99
-32,95,96
-34,91,93
-35,89,86
-36,85,83
-34,80,76
-30,77,75
-25,73,72
-23,71,69
-19,70,68
-17,69,65
-12,66,62
-9,66,59
-5,65,56
-2,63,53
1,63,52
3,61,52
6,59,52
11,58,52
13,57,52
15,57,55
17,57,58
14,64,62
13,58,65
10,59,71
8,58,73
7,59,73
6,61,75
-5,62,84
-12,65,87
-18,70,92
-25,74,94
-33,80,95
-36,83,97
-40,88,98
-44,92,101
-45,94,107
-48,95,109
-48,95,109
-47,95,110
-45,96,111
-42,94,110
-39,94,110
-37,96,114
-32,101,123
-27,106,129
-27,106,134
-31,111,137
-32,114,140
-33,119,144
-34,120,145
-37,120,142
-39,121,136
-46,119,136
-47,116,129
-48,115,126
-47,113,123
-39,113,123
-36,112,124
-23,111,127
-19,110,130
2,105,130
15,102,131
18,101,134
23,101,135
25,103,140
30,104,135
37,108,143
31,100,138
30,102,136
29,100,134
25,94,134
24,90,128
21,87,125
20,82,123
20,78,123
20,78,123
21,75,122
24,73,120
27,70,120
28,68,116
34,68,115
35,65,113
37,64,109
38,64,106
40,60,102
40,61,99
41,58,95
41,58,93
41,56,91
42,54,89
42,52,84
40,48,81
37,43,76
36,37,72
35,33,67
37,27,61
42,21,51
53,16,44
63,14,39
71,12,35
76,9,30
84,7,28
91,5,26
90,4,27
87,3,30
84,5,40
70,10,48
67,14,53
67,21,61
66,28,70
63,38,83
59,54,97
66,56,97
70,57,98
72,58,98
73,61,99
70,67,101
64,77,105
59,87,112
57,89,117
50,104,120
48,107,124
41,123,126
40,126,138
34,131,142
32,132,145
22,132,145
19,132,141
12,131,138
4,129,133
-9,127,133
-12,125,133
-22,123,132
-25,119,126
-33,111,125
-34,107,119
-34,103,118
-34,92,116
-33,88,116
-29,85,113
-21,80,112
-19,79,108
-5,79,103
-3,80,96
0,81,92
5,82,91
9,83,90
11,83,88
14,83,87
17,83,86
18,80,82
20,75,75
21,73,73
18,76,75
10,79,82
4,82,86
-4,86,91
-7,87,95
-14,89,97
-26,94,103
-28,95,108
-31,95,109
-37,98,110
-38,98,110
-49,97,109
-51,99,111
-54,100,112
-60,100,115
-62,100,118
-68,98,119
-73,99,121
-71,101,128
-64,104,133
-63,105,142
-60,109,143
-59,112,144
-59,115,144
-59,118,145
-58,119,142
-57,122,140
-56,122,137
-51,121,132
-49,120,127
-45,116,127
-43,112,124
-23,105,126
-19,104,131
-10,103,132
-6,102,136
7,99,141
28,97,142
32,98,141
36,103,146
42,102,147
42,103,148
42,102,148
43,101,148
39,99,148
37,97,151
36,96,151
32,91,150
31,89,147
32,88,148
33,86,149
33,85,148
35,83,146
38,80,143
39,78,142
41,76,140
44,72,137
45,71,131
46,68,130
46,65,126
46,63,118
47,61,115
47,59,113
46,58,110
46,53,106
45,49,104
44,47,97
45,44,95
45,41,90
43,37,86
43,29,74
49,22,64
53,19,60
58,15,53
66,12,48
73,10,44
79,7,39
87,5,35
92,1,27
97,-2,21
98,-2,19
97,-3,19
95,4,17
86,0,32
80,2,32
72,6,38
68,13,45
65,20,56
62,27,66
58,36,83
59,40,89
59,42,91
58,42,91
58,45,93
58,49,96
58,52,98
57,60,101
54,70,107
49,81,108
48,84,113
44,91,114
42,96,115
43,104,115
44,106,117
46,116,118
46,118,122
43,120,125
42,121,131
34,122,134
31,122,139
16,120,139
13,120,139
6,118,138
-3,115,134
-9,112,132
-12,110,131
-14,109,128
-16,105,127
-16,102,125
-15,99,124
-14,95,122
-13,93,120
-12,92,118
-9,91,118
-7,91,113
-6,91,110
-1,96,110
0,97,105
2,96,97
5,96,94
7,96,90
9,96,88
10,96,87
12,94,85
12,93,84
12,90,83
11,87,87
10,85,88
7,82,94
4,80,97
-1,78,99
-4,78,100
-12,79,106
-16,79,107
-18,80,108
-19,82,105
-21,83,104
-21,83,103
-25,83,102
-26,84,103
-26,84,105
-27,85,105
-31,87,106
-32,89,108
-39,92,108
-44,99,110
-45,108,120
-46,110,126
-50,113,127
-52,115,131
-61,122,132
-63,128,135
-71,132,135
-72,134,131
-74,128,130
-72,128,125
-71,122,122
-67,117,121
-65,114,120
-59,109,120
-54,108,121
-44,104,123
-39,102,125
-25,99,127
-9,96,129
3,93,129
15,93,129
18,93,130
24,94,131
29,96,133
32,100,134
32,104,140
32,106,139
19,106,140
16,105,143
17,102,146
21,96,147
22,95,145
23,93,144
28,89,147
28,86,146
33,84,144
38,81,145
37,80,141
41,76,138
43,74,135
49,71,129
50,70,127
51,68,126
50,63,119
49,65,117
48,63,115
48,60,113
48,59,110
45,54,107
44,53,104
44,51,101
44,46,100
41,43,96
41,40,89
42,36,82
44,32,78
45,29,70
46,27,65
46,25,63
48,23,60
53,19,57
57,16,54
60,15,52
64,10,47
68,8,43
68,7,42
70,6,40
70,6,39
72,6,39
72,7,39
72,7,37
71,11,40
71,16,48
70,20,50
69,22,54
70,26,58
71,32,64
71,39,70
67,42,72
65,45,74
63,46,75
62,47,77
61,50,77
61,52,78
54,62,89
49,69,93
45,73,95
44,76,97
43,81,99
39,88,99
37,90,101
38,96,105
30,106,104
28,107,107
23,108,108
21,108,111
14,104,110
12,103,110
9,99,110
7,93,110
5,91,108
4,85,106
2,80,109
4,78,111
8,76,115
9,75,116
11,76,115
12,78,110
16,80,110
22,86,106
20,86,104
25,83,115
19,101,103
15,99,101
16,93,106
22,95,108
17,92,104
16,92,104
8,86,113
14,89,116
-1,91,116
-3,89,122
-15,92,124
-21,96,115
-25,95,119
-24,94,117
-24,91,114
-22,89,115
-22,88,117
-17,86,113
-18,86,117
-19,86,117
-20,85,118
-29,90,119
-28,93,121
-27,96,127
-26,98,130
-30,107,139
-33,109,141
-38,114,138
-38,117,143
-39,116,142
-44,115,142
-42,111,139
-42,110,135
-38,106,134
-38,105,133
-28,100,131
-25,98,127
-7,97,125
6,96,123
15,95,118
30,93,111
36,93,111
37,96,112
38,96,111
38,97,115
