21031,a,0.52,-0.05,0.66
21171,a,0.91,-0.14,-0.75
21468,a,0.73,-0.08,0.63
21687,b,1006.85,,
21796,a,0.9,0.0,0.48
21890,a,0.92,-0.02,0.52
22171,a,1.11,0.18,0.66
22468,a,0.83,-0.14,0.54
22750,a,0.73,-0.59,0.51
22937,a,0.44,-0.52,0.87
23171,a,0.45,-0.58,0.94
23468,a,0.18,-0.74,0.75
23656,a,0.0,-0.47,0.69
23890,a,0.13,-0.19,0.97
24187,b,1006.86,,
24421,a,-0.23,-0.62,0.65
24656,a,-0.11,-0.72,0.41
24890,a,-0.13,-0.47,0.46
25031,a,-0.24,-0.84,0.47
25281,a,-0.22,-0.88,0.33
25328,a,-0.21,-0.89,0.32
25375,a,-0.25,-0.89,0.32
25421,a,-0.22,-0.89,0.31
25468,a,-0.24,-0.88,0.35
25515,a,-0.26,-0.85,0.31
25562,a,-0.28,-0.87,0.38
26421,a,-0.26,-0.87,0.33
27171,a,-0.29,-0.86,0.33
27187,b,1006.82,,
27187,t,25.781,,
27187,l,0.64,,
27187,h,99.99,,
27234,a,-0.29,-0.87,0.32
27281,a,-0.28,-0.87,0.32
27421,a,-0.29,-0.89,0.32
27656,a,-0.29,-0.87,0.32
27890,a,-0.29,-0.88,0.33
28031,a,-0.29,-0.88,0.31
28171,a,-0.34,-0.87,0.31
28281,a,-0.38,-0.89,0.28
28515,a,-0.33,-0.81,0.31
28796,a,-0.43,-0.67,0.59
28890,a,-0.39,-0.52,0.73
29171,a,-0.39,-0.13,0.87
29421,a,-0.35,-0.04,0.88
29562,a,-0.38,-0.03,0.94
29609,a,-0.4,-0.04,0.91
29656,a,-0.43,-0.04,0.87
29687,b,1006.84,,
29703,a,-0.41,-0.04,0.87
29937,a,-0.42,-0.05,0.92
30656,a,-0.42,-0.11,0.88
30687,b,1006.86,,
30703,a,-0.43,-0.11,0.88
30750,a,-0.44,-0.11,0.87
30937,a,-0.45,-0.1,0.88
31171,a,-0.45,-0.1,0.86
31281,a,-0.5,-0.12,0.85
31562,a,-0.55,-0.43,0.6
31796,a,-0.76,-0.54,0.52
32031,a,-0.53,-0.49,0.32
32281,a,-0.99,-0.44,0.12
32562,a,-0.93,-0.22,-0.01
32609,a,-0.95,-0.23,-0.02
32656,a,-0.93,-0.1,-0.28
32703,a,-0.92,-0.18,-0.22
32890,a,-0.93,-0.03,-0.31
32984,a,-0.94,-0.01,-0.33
33031,a,-0.91,0.0,-0.34
33078,a,-0.91,-0.01,-0.35
33171,a,-0.88,0.03,-0.39
33281,a,-0.83,0.08,-0.51
33515,a,-0.93,0.04,-0.26
33843,a,-0.91,-0.23,-0.29
34078,a,-0.91,-0.24,-0.23
34328,a,-0.92,-0.26,-0.25
34562,a,-0.84,-0.26,-0.13
34796,a,-0.81,-0.5,-0.19
34984,a,-0.85,-0.37,-0.28
35031,a,-0.82,-0.38,-0.2
35187,b,1006.74,,
35421,a,-0.73,-0.49,-0.13
35656,a,-0.86,-0.52,-0.25
35796,a,-0.92,-0.38,-0.25
35937,a,-1.05,0.0,0.0
36031,a,-0.98,-0.18,0.23
36171,a,-0.89,-0.26,0.57
36421,a,-0.46,-0.11,0.9
36656,a,-0.55,-0.07,0.96
36796,a,-0.67,0.03,0.82
36890,a,-0.75,0.0,0.72
37031,a,-0.59,0.15,0.93
37328,a,-0.38,-0.18,0.92
37515,a,-0.27,-0.26,0.76
37796,a,-0.27,-0.57,0.76
38031,a,-0.41,-0.32,0.93
38281,a,-0.23,0.05,0.87
38562,a,-0.22,0.14,0.97
38656,a,-0.2,0.18,0.92
38984,a,-0.03,0.13,0.98
39171,a,-0.16,0.28,1.01
39562,a,0.21,0.42,0.78
39703,a,0.25,0.27,0.92
39937,a,0.22,0.32,0.94
40171,a,0.1,0.24,1.05
40421,a,0.1,0.55,0.84
40656,a,-0.02,0.58,0.66
40937,a,0.02,0.62,0.83
40984,a,0.0,0.63,0.83
41234,a,-0.22,0.48,0.93
41468,a,-0.16,0.42,0.89
41687,b,1006.83,,
41937,a,0.07,0.12,1.0
42031,a,0.16,0.08,0.95
42171,a,0.41,-0.07,0.99
42281,a,0.28,-0.19,0.98
42421,a,-0.07,-0.31,1.02
42687,b,1006.8,,
42890,a,0.06,-0.21,1.02
43031,a,-0.16,-0.03,0.89
43171,a,-0.1,0.29,0.73
43281,a,0.16,0.54,0.64
43421,a,-0.05,0.68,0.94
43515,a,-0.2,0.6,0.67
43656,a,-0.25,0.71,0.57
43890,a,0.1,0.74,0.12
44031,a,-0.08,0.88,0.23
44171,a,-0.18,1.06,0.3
44281,a,-0.16,0.96,0.29
44421,a,-0.24,0.93,0.33
44687,b,1006.75,,
44703,a,0.02,0.97,0.69
44750,a,-0.41,0.35,0.78
44796,a,0.0,0.56,0.76
44937,a,0.19,0.95,0.39
45171,a,0.2,0.72,0.39
45281,a,0.56,1.39,-0.1
45421,a,0.42,0.86,-0.26
45562,a,0.41,0.92,-0.11
45687,b,1006.77,,
45937,a,0.26,1.0,0.02
46328,a,0.39,1.02,0.0
46562,a,0.03,1.02,-0.04
46843,a,0.12,0.99,-0.36
47031,a,0.32,0.92,-0.35
47328,a,0.28,0.79,-0.06
47515,a,0.32,0.87,0.39
47609,a,0.44,0.65,0.49
47656,a,0.27,0.69,0.86
47687,b,1006.8,,
47703,a,0.32,0.51,0.71
47750,a,0.21,0.7,0.87
48171,a,0.27,0.4,0.93
48187,b,1006.79,,
48281,a,0.43,0.33,0.85
48421,a,0.27,0.25,1.04
48515,a,0.41,0.38,0.77
48656,a,0.33,0.21,0.77
48796,a,0.4,0.28,0.96
48890,a,0.49,0.44,1.06
49031,a,0.56,0.39,0.72
49281,a,0.79,0.58,0.51
49421,a,0.7,0.62,0.1
49515,a,0.71,0.63,-0.56
49843,a,0.57,0.85,0.0
50078,a,0.54,0.95,0.17
50171,a,0.45,0.77,0.18
50281,a,0.4,0.67,0.9
50328,a,0.61,0.75,0.67
50375,a,0.63,0.54,0.54
50421,a,0.69,0.16,0.62
50468,a,0.88,0.22,0.39
50687,b,1006.76,,
50750,a,0.87,-0.25,0.33
50796,a,0.74,-0.34,0.34
51125,a,0.32,0.94,0.4
