-88,1,0
-86,1,-4
-85,1,-7
-87,0,-8
-86,1,-9
-87,2,-9
-90,2,-11
-86,-1,-14
-88,0,-14
-87,-1,-10
-89,0,-9
-90,-1,-8
-90,-2,-7
-89,-1,-6
-87,-1,-5
-86,1,-2
-85,2,0
-83,2,-1
-82,3,-1
-80,3,0
-78,4,0
-77,4,0
-77,6,0
-77,5,0
-75,5,0
-75,6,0
-78,8,1
-78,7,0
-81,8,0
-81,8,0
-83,8,0
-84,8,2
-85,7,2
-88,6,3
-89,6,4
-91,6,5
-94,5,6
-97,5,6
-99,5,6
-101,5,9
-102,6,9
-105,7,11
-108,7,10
-109,8,10
-105,7,9
-107,9,10
-108,9,8
-109,9,4
-99,9,4
-94,12,9
-93,13,11
-89,11,10
-93,10,8
-95,8,8
-105,7,11
-107,3,13
-105,0,14
-116,6,14
-114,1,13
-115,3,9
-110,3,6
-104,4,5
-83,9,7
-99,12,1
-90,9,-7
-88,15,-5
-87,15,-7
-82,14,-12
-82,15,-12
-81,14,-13
-83,14,-16
-82,14,-17
-83,13,-17
-82,13,-17
-81,12,-16
-79,10,-16
-78,8,-15
-74,7,-13
-80,8,-11
-79,7,-9
-80,7,-7
-82,7,-7
-82,8,-3
-84,8,-1
-83,7,0
-81,6,0
-79,5,0
-77,4,2
-75,3,2
-76,2,4
-76,2,3
-76,1,3
-76,0,2
-76,0,2
-75,-1,2
-76,-1,0
-76,-1,0
-78,-1,0
-78,-2,0
-80,-2,-1
-83,-2,-2
-85,-2,-2
-87,-1,-3
-88,-2,-3
-88,-3,-4
-89,-2,-4
-90,-1,-4
-93,-1,-5
-97,0,-5
-101,0,-7
-101,0,-6
-102,1,-6
-103,3,-5
-106,4,-5
-108,5,-5
-109,7,-4
-108,6,-3
-104,2,-5
-100,0,-4
-99,0,-4
-101,-1,-1
-103,-1,0
-105,0,1
-106,0,4
-108,0,7
-108,0,9
-109,0,10
-109,1,10
-107,0,11
-102,0,9
-99,0,8
-95,0,5
-90,0,3
-90,0,1
-85,1,-1
-86,0,-5
-79,0,-8
-79,2,-9
-83,4,-10
-84,3,-12
-87,2,-17
-93,3,-17
-95,3,-17
-94,1,-18
-92,0,-17
-91,-1,-17
-91,0,-16
-90,0,-14
-89,0,-12
-88,0,-11
-87,1,-9
-86,2,-6
-85,3,-4
-84,3,-2
-81,2,0
-79,2,2
-76,1,3
-75,1,4
-75,1,5
-75,2,7
-79,3,7
-82,4,6
-84,5,6
-88,6,5
-91,7,4
-93,7,2
-94,7,1
-93,7,2
-94,8,0
-93,7,-2
-93,8,-1
-93,9,-1
-94,10,-1
-96,10,0
-98,10,1
-99,9,3
-99,8,7
-100,5,7
-101,3,7
-102,2,9
-103,1,11
-103,0,11
-104,0,11
-105,0,10
-105,0,11
-107,2,11
-114,5,13
-114,9,12
-121,11,13
-119,14,12
-121,16,12
-115,14,12
-105,13,8
-100,9,7
-97,6,4
-91,1,1
-94,1,0
-92,0,-2
-83,-1,0
-88,3,-3
-81,2,-7
-94,9,-4
-98,7,-7
-93,8,-13
-89,9,-12
-88,11,-8
-87,12,-13
-84,10,-16
-87,9,-18
-75,6,-10
-76,7,-3
-73,5,-9
-67,2,-1
-70,0,-3
-70,0,-5
-64,-1,1
-70,0,2
